"index","species","status","error"
751,"Viburnum lentago",0,NA
752,"Delphinia picta",0,NA
753,"Micromus posticus",0,NA
754,"Rhinusa tetra",1,NA
755,"Bombus bimaculatus",0,NA
756,"Atrytone delaware",NA,"No matching species"
757,"Propylaea quatuordecimpunctata",1,NA
758,"Antheraea polyphemus",0,NA
759,"Laetiporus sulphureus",0,NA
760,"Robinia pseudoacacia",1,NA
761,"Cornus alternifolia",0,NA
762,"Polites themistocles",0,NA
763,"Oxneria fallax",NA,"Results is empty"
764,"Agrimonia gryposepala",0,NA
765,"Troglodytes hiemalis",0,NA
766,"Hippodamia variegata",1,NA
767,"Peltodytes edentulus",0,NA
768,"Polygonatum multiflorum",1,NA
769,"Lithobates catesbeianus",0,NA
770,"Caulophyllum giganteum",0,NA
771,"Iris versicolor",0,NA
772,"Plantago major",1,NA
773,"Leptoglossus occidentalis",2,NA
774,"Symphyotrichum lanceolatum",0,NA
775,"Melilotus albus",NA,"Results is empty"
776,"Dipsacus fullonum",1,NA
777,"Aesculus hippocastanum",1,NA
778,"Hypericum ascyron",0,NA
779,"Cenopis pettitana",0,NA
780,"Fraxinus pennsylvanica",0,NA
781,"Acer nigrum",0,NA
782,"Ostrya virginiana",0,NA
783,"Melaphis rhois",0,NA
784,"Catocala briseis",0,NA
785,"Cotinus coggygria",1,NA
786,"Falco peregrinus",0,NA
787,"Galeopsis bifida",1,NA
788,"Mareca strepera",0,NA
789,"Dendrocygna autumnalis",NA,"No data for Canada"
790,"Pinus resinosa",0,NA
791,"Thamnophis sirtalis",0,NA
792,"Mareca americana",0,NA
793,"Epicauta pensylvanica",0,NA
794,"Chauliognathus pensylvanicus",0,NA
795,"Thyanta accerra",NA,"No matching species"
796,"Thyanta custator",0,NA
797,"Diabrotica undecimpunctata",0,NA
798,"Hypsizygus ulmarius",0,NA
799,"Solidago gigantea",0,NA
800,"Mastor hegon",NA,"Results is empty"
801,"Anavitrinella pampinaria",0,NA
802,"Macaria pustularia",0,NA
803,"Ennomos magnaria",0,NA
804,"Xylena germana",NA,"Results is empty"
805,"Campaea perlata",0,NA
806,"Amphipyra pyramidoides",0,NA
807,"Astyleiopus variegatus",0,NA
808,"Gluphisia septentrionis",0,NA
809,"Tragopogon crantzii",NA,"No matching species"
810,"Idaea dimidiata",0,NA
811,"Elophila obliteralis",0,NA
812,"Lygaeus kalmii",0,NA
813,"Maianthemum canadense",0,NA
814,"Salix interior",0,NA
815,"Castor canadensis",0,NA
816,"Spilomyia longicornis",0,NA
817,"Ilex verticillata",0,NA
818,"Heliopsis helianthoides",0,NA
819,"Epifagus virginiana",0,NA
820,"Pekania pennanti",0,NA
821,"Lithobius forficatus",1,NA
822,"Mephitis mephitis",0,NA
823,"Hiodon tergisus",0,NA
824,"Rudiloria trimaculata",NA,"No data for Canada"
825,"Ctenucha virginica",0,NA
826,"Hylodesmum glutinosum",NA,"No matching species"
827,"Pennisetia marginatum",0,NA
828,"Vireo olivaceus",0,NA
829,"Zenaida macroura",0,NA
830,"Canis latrans",0,NA
831,"Myiarchus crinitus",0,NA
832,"Labidomera clivicollis",0,NA
833,"Archilochus colubris",0,NA
834,"Icterus galbula",0,NA
835,"Amblycorypha oblongifolia",0,NA
836,"Gavia immer",0,NA
837,"Helophilus fasciatus",0,NA
838,"Lamium galeobdolon",NA,"No matching species"
839,"Petrochelidon pyrrhonota",0,NA
840,"Cassida rubiginosa",1,NA
841,"Melospiza georgiana",0,NA
842,"Ixodes scapularis",0,NA
843,"Clinopodium vulgare",0,NA
844,"Anemonastrum canadense",0,NA
845,"Phragmatobia fuliginosa",0,NA
846,"Polistes fuscatus",0,NA
847,"Megaceryle alcyon",0,NA
848,"Epiblema otiosana",0,NA
849,"Setophaga virens",0,NA
850,"Toxicodendron rydbergii",0,NA
851,"Dryophytes versicolor",0,NA
852,"Lestes congener",0,NA
853,"Hepatica acutiloba",NA,"No matching species"
854,"Calidris pusilla",0,NA
855,"Fraxinus nigra",0,NA
856,"Alypia octomaculata",0,NA
857,"Merodon equestris",1,NA
858,"Anthidium oblongatum",1,NA
859,"Leiobunum vittatum",NA,"No matching species"
860,"Augochlora pura",0,NA
861,"Deroceras reticulatum",1,NA
862,"Phidippus audax",0,NA
863,"Zale galbanata",0,NA
864,"Mimus polyglottos",0,NA
865,"Cnaemidophorus rhododactyla",1,NA
866,"Sphenophorus interstitialis",NA,"Results is empty"
867,"Bombus perplexus",0,NA
868,"Trogoderma sternale",0,NA
869,"Bourletiella hortensis",0,NA
870,"Aphomia sociella",1,NA
871,"Nephrotoma ferruginea",NA,"In argument: `subnationCode == ""QC""`."
872,"Arctium minus",0,NA
873,"Pholiota limonella",0,NA
874,"Adelphocoris lineolatus",1,NA
875,"Cardamine diphylla",0,NA
876,"Anas rubripes",0,NA
877,"Calvatia gigantea",0,NA
878,"Catocala subnata",0,NA
879,"Libellula pulchella",0,NA
880,"Bartramia longicauda",0,NA
881,"Leucanthemum vulgare",1,NA
882,"Faxonius virilis",0,NA
883,"Pheucticus ludovicianus",0,NA
884,"Tyrannus forficatus",0,NA
885,"Equisetum arvense",0,NA
886,"Eris militaris",0,NA
887,"Daktulosphaira vitifoliae",0,NA
888,"Fraxinus americana",0,NA
889,"Osmundastrum cinnamomeum",0,NA
890,"Viola eriocarpa",NA,"No matching species"
891,"Spilosoma virginica",0,NA
892,"Ceratina calcarata",0,NA
893,"Dasineura pellex",NA,"In argument: `subnationCode == ""QC""`."
894,"Anthocomus equestris",1,NA
895,"Erigeron canadensis",NA,"No matching species"
896,"Prunus americana",1,NA
897,"Haploa clymene",0,NA
898,"Salticus scenicus",1,NA
899,"Eranthis hyemalis",1,NA
900,"Alkekengi officinarum",1,NA
901,"Candelaria concolor",0,NA
902,"Chalybion californicum",NA,"In argument: `subnationCode == ""QC""`."
903,"Sitta canadensis",0,NA
904,"Catharus ustulatus",0,NA
905,"Lasius niger",0,NA
906,"Oxyporus populinus",0,NA
907,"Hexagenia bilineata",0,NA
908,"Carabus granulatus",1,NA
909,"Tyrannus tyrannus",NA,"No matching species"
910,"Dissosteira carolina",0,NA
911,"Talinum paniculatum",NA,"No data for Canada"
912,"Juglans cinerea",0,NA
913,"Archips rosana",1,NA
914,"Circaea canadensis",NA,"No matching species"
915,"Sceliphron caementarium",NA,"No matching species"
916,"Tipula paludosa",NA,"no applicable method for 'filter' applied to an object of class ""list"""
917,"Ipomoea purpurea",1,NA
918,"Veronica serpyllifolia",0,NA
919,"Harmostes reflexulus",0,NA
920,"Rainieria antennaepes",0,NA
921,"Anasa tristis",0,NA
922,"Eutrapela clemataria",0,NA
923,"Crepidotus mollis",0,NA
924,"Amphion floridensis",0,NA
925,"Zelus luridus",0,NA
926,"Pachypsylla celtidisvesicula",NA,"No matching species"
927,"Larinus carlinae",NA,"No matching species"
928,"Tipula sayi",NA,"no applicable method for 'filter' applied to an object of class ""list"""
929,"Lacinipolia renigera",0,NA
930,"Aedes japonicus",1,NA
931,"Megachile rotundata",1,NA
932,"Hypena scabra",0,NA
933,"Climacodon septentrionalis",0,NA
934,"Passerina cyanea",0,NA
935,"Anser caerulescens",0,NA
936,"Laphria thoracica",0,NA
937,"Mycena leaiana",0,NA
938,"Graphisurus fasciatus",0,NA
939,"Larinioides sclopetarius",1,NA
940,"Rheum rhabarbarum",1,NA
941,"Olethreutes ferriferana",0,NA
942,"Lactarius hygrophoroides",0,NA
943,"Euschistus tristigmus",0,NA
944,"Lonicera morrowii",1,NA
945,"Ondatra zibethicus",0,NA
946,"Atomosia puella",0,NA
947,"Alaus oculatus",0,NA
948,"Celastrus orbiculatus",1,NA
949,"Hylaeus modestus",0,NA
950,"Anoplodera pubera",0,NA
951,"Pimpla pedalis",NA,"No data for Canada"
952,"Graphocephala fennahi",0,NA
953,"Arrenodes minutus",0,NA
954,"Epiphragma fasciapenne",NA,"no applicable method for 'filter' applied to an object of class ""list"""
955,"Cerceris atramontensis",NA,"no applicable method for 'filter' applied to an object of class ""list"""
956,"Syrphus knabi",0,NA
957,"Geum canadense",0,NA
958,"Ligustrum vulgare",1,NA
959,"Arigomphus cornutus",0,NA
960,"Euodynerus foraminatus",0,NA
961,"Neriene montana",1,NA
962,"Atocion armeria",NA,"No matching species"
963,"Euclidia cuspidea",0,NA
964,"Brochymena quadripustulata",0,NA
965,"Rhagio mystaceus",NA,"No matching species"
966,"Larinioides patagiatus",0,NA
967,"Hymenopellis furfuracea",0,NA
968,"Vincetoxicum rossicum",NA,"No matching species"
969,"Mycetophagus quadripustulatus",NA,"Results is empty"
970,"Megarhyssa greenei",NA,"No data for Canada"
971,"Catocala cerogama",0,NA
972,"Megacyllene robiniae",0,NA
973,"Lithospermum officinale",1,NA
974,"Trachemys scripta",1,NA
975,"Pandion haliaetus",0,NA
976,"Ptecticus trivittatus",0,NA
977,"Catalpa speciosa",1,NA
978,"Thalictrum dioicum",0,NA
979,"Oniscus asellus",1,NA
980,"Nycticorax nycticorax",0,NA
981,"Mergus merganser",0,NA
982,"Symmorphus canadensis",0,NA
983,"Phyllobius oblongus",1,NA
984,"Coprinellus disseminatus",0,NA
985,"Acer pensylvanicum",0,NA
986,"Symphytum officinale",1,NA
987,"Sphinx kalmiae",0,NA
988,"Flammulina velutipes",0,NA
989,"Psylliodes dulcamarae",NA,"no applicable method for 'filter' applied to an object of class ""list"""
990,"Poronidulus conchifer",0,NA
991,"Diadophis punctatus",0,NA
992,"Fomitopsis betulina",0,NA
993,"Bjerkandera adusta",0,NA
994,"Trametes gibbosa",0,NA
995,"Armadillidium nasatum",NA,"Results is empty"
996,"Claytosmunda claytoniana",0,NA
997,"Imatisma bautias",NA,"Results is empty"
998,"Accipiter striatus",0,NA
999,"Marasmius oreades",0,NA
1000,"Halictus ligatus",0,NA
1001,"Cheiracanthium mildei",1,NA
1002,"Parthenocissus inserta",NA,"No matching species"
1003,"Calystegia sepium",0,NA
1004,"Condylostylus patibulatus",NA,"no applicable method for 'filter' applied to an object of class ""list"""
1005,"Caragana arborescens",1,NA
1006,"Eurosta solidaginis",0,NA
1007,"Ischnopterapion virens",1,NA
1008,"Pachysandra terminalis",1,NA
1009,"Cosmos sulphureus",NA,"No data for Canada"
1010,"Sehirus cinctus",0,NA
1011,"Oxidus gracilis",1,NA
1012,"Callopistromyia annulipes",0,NA
1013,"Banksiola dossuaria",0,NA
1014,"Chloriona sicula",NA,"Results is empty"
1015,"Deloyala guttata",0,NA
1016,"Solidago altissima",0,NA
1017,"Lilioceris lilii",1,NA
1018,"Harpalus affinis",1,NA
1019,"Cardellina pusilla",0,NA
1020,"Contopus cooperi",0,NA
1021,"Epitheca canis",0,NA
1022,"Misumena vatia",0,NA
1023,"Crambus agitatellus",0,NA
1024,"Agapostemon virescens",0,NA
1025,"Aeshna interrupta",0,NA
1026,"Eristalis arbustorum",1,NA
1027,"Typha angustifolia",1,NA
1028,"Calligrapha bidenticola",0,NA
1029,"Podisus placidus",0,NA
1030,"Nuphar variegata",NA,"No matching species"
1031,"Sphex ichneumoneus",NA,"In argument: `subnationCode == ""QC""`."
1032,"Vespula germanica",1,NA
1033,"Toxicodendron radicans",0,NA
1034,"Acer tataricum",NA,"No data for Canada"
1035,"Udea rubigalis",0,NA
1036,"Bombylius major",0,NA
1037,"Lucilia sericata",0,NA
1038,"Aphrophora alni",1,NA
1039,"Acer rubrum",0,NA
1040,"Platanus occidentalis",0,NA
1041,"Reticularia lycoperdon",NA,"Results is empty"
1042,"Aproceros leucopoda",NA,"In argument: `subnationCode == ""QC""`."
1043,"Pleuroprucha insulsaria",0,NA
1044,"Arabidopsis thaliana",1,NA
1045,"Veronica arvensis",1,NA
1046,"Anthonomus signatus",0,NA
1047,"Alsophila pometaria",0,NA
1048,"Erythemis simplicicollis",0,NA
1049,"Butomus umbellatus",1,NA
1050,"Polydrusus impressifrons",1,NA
1051,"Xanthium strumarium",0,NA
1052,"Coleomegilla maculata",0,NA
1053,"Agrotis ipsilon",0,NA
1054,"Dianthera americana",NA,"Results is empty"
1055,"Photinus corrusca",NA,"No matching species"
1056,"Rudbeckia hirta",1,NA
1057,"Deidamia inscriptum",0,NA
1058,"Strix nebulosa",0,NA
1059,"Agaricus placomyces",0,NA
1060,"Crataegus holmesiana",0,NA
1061,"Petrophila bifascialis",0,NA
1062,"Mangora gibberosa",0,NA
1063,"Centaurea jacea",1,NA
1064,"Hymenopellis megalospora",0,NA
1065,"Haliaeetus leucocephalus",0,NA
1066,"Ardea alba",0,NA
1067,"Salix bebbiana",0,NA
1068,"Megarhyssa atrata",NA,"No data for Canada"
1069,"Betula pendula",NA,"No matching species"
1070,"Maliattha synochitis",0,NA
1071,"Pyrausta merrickalis",NA,"No matching species"
1072,"Physalis heterophylla",0,NA
1073,"Sander canadensis",0,NA
1074,"Haematopis grataria",0,NA
1075,"Hemaris diffinis",0,NA
1076,"Cistothorus palustris",0,NA
1077,"Elliptio complanata",0,NA
1078,"Ulmus rubra",0,NA
1079,"Phidippus clarus",0,NA
1080,"Sphaerophoria contigua",0,NA
1081,"Calleida punctata",0,NA
1082,"Leuconycta diphteroides",0,NA
1083,"Agrochola bicolorago",NA,"Results is empty"
1084,"Enargia decolor",0,NA
1085,"Chrysopa oculata",0,NA
1086,"Prochoerodes lineola",0,NA
1087,"Anathix puta",0,NA
1088,"Anathix aggressa",0,NA
1089,"Xanthogaleruca luteola",1,NA
1090,"Lacanobia subjuncta",0,NA
1091,"Alydus eurinus",0,NA
1092,"Pseudeustrotia carneola",0,NA
1093,"Rhizedra lutosa",1,NA
1094,"Synanthedon acerni",0,NA
1095,"Orthosia revicta",0,NA
1096,"Catocala unijuga",0,NA
1097,"Melissodes druriellus",NA,"No matching species"
1098,"Leucrocuta aphrodite",0,NA
1099,"Amphimallon majale",1,NA
1100,"Notophthalmus viridescens",0,NA
1101,"Hericium americanum",0,NA
1102,"Pastinaca sativa",1,NA
1103,"Ambystoma unisexual",NA,"No matching species"
1104,"Sander vitreus",0,NA
1105,"Meloe impressus",0,NA
1106,"Ranunculus acris",1,NA
1107,"Sialia sialis",0,NA
1108,"Chelydra serpentina",0,NA
1109,"Papilio canadensis",NA,"No matching species"
1110,"Buteo lagopus",0,NA
1111,"Eristalis flavipes",0,NA
1112,"Bembidion frontale",0,NA
1113,"Euphagus carolinus",0,NA
1114,"Argiope aurantia",0,NA
1115,"Lenzites betulinus",0,NA
1116,"Oiceoptoma noveboracense",0,NA
1117,"Carex alopecoidea",0,NA
1118,"Paectes oculatrix",0,NA
1119,"Elymus virginicus",0,NA
1120,"Atteva punctella",NA,"No matching species"
1121,"Parallelia bistriaris",0,NA
1122,"Automeris io",0,NA
1123,"Blepharomastix ranalis",0,NA
1124,"Acrolepiopsis incertella",0,NA
1125,"Lestes rectangularis",0,NA
1126,"Phlebia tremellosa",0,NA
1127,"Crossocerus nitidiventris",NA,"no applicable method for 'filter' applied to an object of class ""list"""
1128,"Piranga olivacea",0,NA
1129,"Syritta pipiens",1,NA
1130,"Rosa canina",1,NA
1131,"Stictocephala diceros",NA,"No matching species"
1132,"Trichopoda plumipes",NA,"no applicable method for 'filter' applied to an object of class ""list"""
1133,"Helix pomatia",NA,"In argument: `subnationCode == ""QC""`."
1134,"Progne subis",0,NA
1135,"Demeijerea brachialis",0,NA
1136,"Persicaria maculosa",1,NA
1137,"Euchaetes egle",0,NA
1138,"Elymus repens",1,NA
1139,"Suillia plumata",0,NA
1140,"Hericium coralloides",0,NA
1141,"Deparia acrostichoides",0,NA
1142,"Anas crecca",0,NA
1143,"Agalinis purpurea",0,NA
1144,"Eremnophila aureonotata",NA,"In argument: `subnationCode == ""QC""`."
1145,"Zonotrichia leucophrys",0,NA
1146,"Bombus citrinus",0,NA
1147,"Limnoporus dissortis",0,NA
1148,"Acanthis flammea",0,NA
1149,"Ambystoma laterale",0,NA
1150,"Catocala cara",0,NA
1151,"Banasa calva",0,NA
1152,"Porzana carolina",0,NA
1153,"Vireo gilvus",0,NA
1154,"Agonum extensicolle",0,NA
1155,"Tringa flavipes",0,NA
1156,"Discomyza incurva",0,NA
1157,"Pelecinus polyturator",0,NA
1158,"Tigrosa helluo",0,NA
1159,"Porcellio scaber",1,NA
1160,"Darapsa myron",0,NA
1161,"Phytomyza loewii",NA,"no applicable method for 'filter' applied to an object of class ""list"""
1162,"Phaeolus schweinitzii",0,NA
1163,"Spinus pinus",NA,"No matching species"
1164,"Lepomis macrochirus",0,NA
1165,"Harpalus rufipes",1,NA
1166,"Trametes cinnabarina",NA,"No matching species"
1167,"Gomphurus fraternus",0,NA
1168,"Dromogomphus spinosus",0,NA
1169,"Macromia illinoiensis",0,NA
1170,"Otiorhynchus raucus",1,NA
1171,"Tenodera sinensis",NA,"No matching species"
1172,"Setophaga pensylvanica",0,NA
1173,"Lepyronia coleoptrata",1,NA
1174,"Cicindela duodecimguttata",0,NA
1175,"Viola odorata",1,NA
1176,"Chilocorus stigma",0,NA
1177,"Lamium maculatum",1,NA
1178,"Eriophyes tiliae",NA,"Results is empty"
1179,"Chrysis angolensis",NA,"No data for Canada"
1180,"Andrena dunningi",0,NA
1181,"Acontia erastrioides",NA,"No matching species"
1182,"Cannabis sativa",1,NA
1183,"Platycodon grandiflorus",NA,"No matching species"
1184,"Ataenius spretulus",0,NA
1185,"Sisyrinchium montanum",0,NA
1186,"Megascops asio",0,NA
1187,"Galasa nigrinodis",0,NA
1188,"Orchestes steppensis",1,NA
1189,"Pyralis farinalis",1,NA
1190,"Achatia latex",NA,"Results is empty"
1191,"Catocala ilia",0,NA
1192,"Setophaga striata",0,NA
1193,"Aceria fraxiniflora",NA,"No data for Canada"
1194,"Ladona julia",0,NA
1195,"Eristalis tenax",1,NA
1196,"Amaropostia stiptica",NA,"No matching species"
1197,"Gnophomyia tristissima",0,NA
1198,"Spiraea japonica",1,NA
1199,"Xanthorhoe ferrugata",0,NA
1200,"Chrysopilus quadratus",NA,"no applicable method for 'filter' applied to an object of class ""list"""
1201,"Choristoneura rosaceana",0,NA
1202,"Centaurium pulchellum",1,NA
1203,"Cylapus tenuicornis",0,NA
1204,"Enallagma signatum",0,NA
1205,"Allophyla laevis",NA,"No matching species"
1206,"Choreutis pariana",1,NA
1207,"Carassius auratus",1,NA
1208,"Megachile latimanus",0,NA
1209,"Chymomyza amoena",NA,"no applicable method for 'filter' applied to an object of class ""list"""
1210,"Humulus neomexicanus",NA,"No matching species"
1211,"Meiorganum curtisii",NA,"No matching species"
1212,"Calophasia lunula",1,NA
1213,"Erysiphe convolvuli",NA,"Results is empty"
1214,"Haemorhous purpureus",0,NA
1215,"Mycena haematopus",0,NA
1216,"Machimia tentoriferella",0,NA
1217,"Plantago rugelii",1,NA
1218,"Abia fasciata",1,NA
1219,"Polydrusus formosus",1,NA
1220,"Catocala innubens",0,NA
1221,"Rubus allegheniensis",0,NA
1222,"Rilaena triangularis",1,NA
1223,"Euonymus alatus",1,NA
1224,"Scaeva affinis",0,NA
1225,"Panaeolina foenisecii",0,NA
1226,"Galanthus nivalis",1,NA
1227,"Daedaleopsis tricolor",NA,"no applicable method for 'filter' applied to an object of class ""list"""
1228,"Betula alleghaniensis",0,NA
1229,"Cylindroiulus caeruleocinctus",1,NA
1230,"Microrhopala vittata",0,NA
1231,"Parasola plicatilis",0,NA
1232,"Juglans nigra",1,NA
1233,"Sterna hirundo",0,NA
1234,"Lithospermum parviflorum",NA,"No matching species"
1235,"Rumex crispus",1,NA
1236,"Oecanthus fultoni",0,NA
1237,"Anaplectoides prasina",0,NA
1238,"Flavoparmelia caperata",0,NA
1239,"Eupeodes pomus",0,NA
1240,"Tringa melanoleuca",0,NA
1241,"Toxostoma rufum",0,NA
1242,"Euschistus servus",0,NA
1243,"Anomoea laticlavia",0,NA
1244,"Plathemis lydia",0,NA
1245,"Melanoplus femurrubrum",0,NA
1246,"Oxybleptes kiteleyi",0,NA
1247,"Alchemilla mollis",1,NA
1248,"Enoplognatha ovata",1,NA
1249,"Empidonax minimus",0,NA
1250,"Chamaenerion angustifolium",NA,"No matching species"
1251,"Contopus virens",0,NA
1252,"Acholla multispinosa",0,NA
1253,"Gleditsia triacanthos",2,NA
1254,"Megaloceroea recticornis",1,NA
1255,"Parectopa robiniella",0,NA
1256,"Catocala amatrix",0,NA
1257,"Solanum nigrum",1,NA
1258,"Baeolophus bicolor",0,NA
1259,"Heracleum maximum",0,NA
1260,"Aythya collaris",0,NA
1261,"Parhelophilus laetus",0,NA
1262,"Arotes amoenus",NA,"Results is empty"
1263,"Corylus cornuta",NA,"No matching species"
1264,"Medicago varia",NA,"Results is empty"
1265,"Elaeagnus angustifolia",1,NA
1266,"Odontites vulgaris",NA,"No matching species"
1267,"Eucosma tomonana",0,NA
1268,"Staphylea trifolia",0,NA
1269,"Solidago nemoralis",0,NA
1270,"Cryptus albitarsis",NA,"Results is empty"
1271,"Lobophora nivigerata",0,NA
1272,"Cleonis pigra",1,NA
1273,"Choristoneura fumiferana",0,NA
1274,"Macronoctua onusta",0,NA
1275,"Catocala relicta",0,NA
1276,"Achatia distincta",0,NA
1277,"Lycia ursaria",0,NA
1278,"Operophtera bruceata",0,NA
1279,"Lateroligia ophiogramma",1,NA
1280,"Eusarca confusaria",0,NA
1281,"Caenurgina erechtea",0,NA
1282,"Parapoynx obscuralis",0,NA
1283,"Potamogeton gramineus",0,NA
1284,"Betula papyrifera",0,NA
1285,"Panax trifolius",0,NA
1286,"Cryptotaenia canadensis",0,NA
1287,"Galium triflorum",0,NA
1288,"Polygonatum pubescens",0,NA
1289,"Fomes fomentarius",0,NA
1290,"Macrurocampa marthesia",0,NA
1291,"Perca flavescens",0,NA
1292,"Labidesthes sicculus",0,NA
1293,"Osmunda spectabilis",0,NA
1294,"Ambloplites rupestris",0,NA
1295,"Coccyzus erythropthalmus",0,NA
1296,"Scopula limboundata",0,NA
1297,"Rubus pensilvanicus",0,NA
1298,"Psaphida grotei",NA,"No matching species"
1299,"Archips packardiana",0,NA
1300,"Enallagma civile",0,NA
1301,"Amorpha juglandis",0,NA
1302,"Trirhabda canadensis",0,NA
1303,"Artomyces pyxidatus",0,NA
1304,"Hyalophora cecropia",0,NA
1305,"Hyphantria cunea",0,NA
1306,"Crataegus irrasa",0,NA
1307,"Eptesicus fuscus",0,NA
1308,"Cyprinus carpio",1,NA
1309,"Muscari botryoides",1,NA
1310,"Bombus fervidus",0,NA
1311,"Banasa dimidiata",0,NA
1312,"Physocephala furcillata",0,NA
1313,"Sonchus asper",1,NA
1314,"Dirca palustris",0,NA
1315,"Andrena carlini",0,NA
1316,"Setophaga americana",0,NA
1317,"Microtus pennsylvanicus",NA,"No matching species"
1318,"Circus cyaneus",NA,"No matching species"
1319,"Necturus maculosus",0,NA
1320,"Barbarea vulgaris",1,NA
1321,"Perithemis tenera",0,NA
1322,"Anemone ranunculoides",1,NA
1323,"Ancistrocerus gazella",1,NA
1324,"Silene chalcedonica",1,NA
1325,"Pilosella aurantiaca",NA,"No matching species"
1326,"Amanita variicolor",NA,"no applicable method for 'filter' applied to an object of class ""list"""
1327,"Diabrotica barberi",0,NA
1328,"Ligumia recta",0,NA
1329,"Aceria fraxinicola",NA,"No matching species"
1330,"Tricholomopsis rutilans",0,NA
1331,"Acutalis tartarea",0,NA
1332,"Oncopeltus fasciatus",0,NA
1333,"Impatiens glandulifera",1,NA
1334,"Tipula dorsimacula",NA,"no applicable method for 'filter' applied to an object of class ""list"""
1335,"Calopteryx maculata",0,NA
1336,"Trigonotylus caelestialium",0,NA
1337,"Otiorhynchus sulcatus",1,NA
1338,"Epiblema glenni",0,NA
1339,"Amblycerus robiniae",0,NA
1340,"Xylaria hypoxylon",0,NA
1341,"Crataegus chrysocarpa",0,NA
1342,"Anthomyia procellaris",0,NA
1343,"Orthosia hibisci",0,NA
1344,"Rhingia nasica",0,NA
1345,"Ancistrocerus capensis",NA,"Results is empty"
1346,"Laphria index",0,NA
1347,"Trypoxylon lactitarse",NA,"no applicable method for 'filter' applied to an object of class ""list"""
1348,"Rhamphomyia longicauda",NA,"no applicable method for 'filter' applied to an object of class ""list"""
1349,"Mathildana newmanella",0,NA
1350,"Dermestes lardarius",1,NA
1351,"Smilia camelus",0,NA
1352,"Hoplistoscelis pallescens",0,NA
1353,"Andrena milwaukeensis",0,NA
1354,"Morus alba",1,NA
1355,"Pteridium aquilinum",0,NA
1356,"Byturus unicolor",0,NA
1357,"Echinoderma asperum",0,NA
1358,"Typocerus velutinus",0,NA
1359,"Calycina citrina",NA,"No matching species"
1360,"Helianthus strumosus",0,NA
1361,"Entoloma abortivum",0,NA
1362,"Phlebia radiata",0,NA
1363,"Mycena galericulata",0,NA
1364,"Marasmius rotula",0,NA
1365,"Sericomyia chrysotoxoides",0,NA
1366,"Parthenocissus tricuspidata",1,NA
1367,"Oecanthus pini",0,NA
1368,"Camponotus pennsylvanicus",0,NA
1369,"Bellis perennis",1,NA
1370,"Coprinus comatus",0,NA
1371,"Epinotia normanana",0,NA
1372,"Hemerobius stigma",0,NA
1373,"Trifolium aureum",1,NA
1374,"Phalaris canariensis",1,NA
1375,"Sphecodina abbottii",0,NA
1376,"Marchantia polymorpha",0,NA
1377,"Janetiella ulmii",NA,"no applicable method for 'filter' applied to an object of class ""list"""
1378,"Bembix americana",0,NA
1379,"Dysdera crocata",1,NA
1380,"Hydrobius fuscipes",0,NA
1381,"Galium odoratum",1,NA
1382,"Ancistrocerus adiabatus",0,NA
1383,"Neogalerucella calmariensis",1,NA
1384,"Erythroneura elegans",0,NA
1385,"Abies balsamea",0,NA
1386,"Uloborus glomosus",NA,"No matching species"
1387,"Setaria faberi",1,NA
1388,"Sitona hispidulus",1,NA
1389,"Rosa blanda",0,NA
1390,"Eristalis dimidiata",0,NA
1391,"Tutelina harti",0,NA
1392,"Hasarius adansoni",NA,"No data for Canada"
1393,"Golovinomyces monardae",NA,"Results is empty"
1394,"Ameiurus nebulosus",0,NA
1395,"Leiobunum aldrichi",0,NA
1396,"Diplolepis rosae",1,NA
1397,"Dolomedes scriptus",0,NA
1398,"Tubifera ferruginosa",NA,"Results is empty"
1399,"Claytonia virginica",0,NA
1400,"Populus grandidentata",0,NA
1401,"Philaenus spumarius",1,NA
1402,"Colymbetes sculptilis",0,NA
1403,"Juncus torreyi",0,NA
1404,"Bromus inermis",1,NA
1405,"Andrena hirticincta",0,NA
1406,"Crataegus suborbiculata",0,NA
1407,"Elaphria versicolor",0,NA
1408,"Sitona lineatus",1,NA
1409,"Neoplea striola",0,NA
1410,"Populus alba",1,NA
1411,"Euphorbia virgata",1,NA
1412,"Reynoutria bohemica",NA,"No matching species"
1413,"Vespula alascensis",0,NA
1414,"Acronicta superans",0,NA
1415,"Tetracis cachexiata",0,NA
1416,"Diachrysia balluca",0,NA
1417,"Hypoprepia miniata",0,NA
1418,"Oecanthus niveus",0,NA
1419,"Scutellaria galericulata",0,NA
1420,"Schoenoplectus tabernaemontani",0,NA
1421,"Notropis atherinoides",0,NA
1422,"Suillus americanus",0,NA
1423,"Malus domestica",NA,"No matching species"
1424,"Lanius borealis",0,NA
1425,"Agrilus cuprescens",1,NA
1426,"Megachile relativa",0,NA
1427,"Libellula quadrimaculata",0,NA
1428,"Olethreutes connectum",0,NA
1429,"Thaumatomyia grata",0,NA
1430,"Cucullia convexipennis",0,NA
1431,"Hesperomyces harmoniae",NA,"Results is empty"
1432,"Carex eburnea",0,NA
1433,"Tarenaya houtteana",NA,"Results is empty"
1434,"Doellingeria umbellata",0,NA
1435,"Psectrotanypus dyari",0,NA
1436,"Golovinomyces magnicellulatus",NA,"Results is empty"
1437,"Cerastium fontanum",1,NA
1438,"Belostoma flumineum",NA,"No matching species"
1439,"Pantala flavescens",0,NA
1440,"Carex vulpinoidea",0,NA
